frame,keypoint,X,Y,Z,visible
8,LShoulder,[     330.18],[     35.513],[     1390.5],1
8,LElbow,[     285.84],[     101.53],[     1115.6],1
8,LHand,[      292.9],[    -122.59],[     1039.8],1
9,Hips,[          0],[          0],[          0],0
9,RHip,[     46.105],[      7.707],[     884.12],1
9,RKnee,[    -4.5572],[    -37.189],[     509.63],1
9,RAnkle,[     482.38],[     157.57],[     90.309],1
9,RFoot,[          0],[          0],[          0],0
9,LHip,[     90.117],[     181.33],[     895.86],1
9,LKnee,[     19.818],[     89.515],[     496.46],1
9,LAnkle,[    -25.285],[     185.71],[     154.34],1
9,LFoot,[          0],[          0],[          0],0
9,Spine,[          0],[          0],[          0],0
9,Neck,[          0],[          0],[          0],0
9,Head,[     367.48],[    -179.46],[     1556.2],1
9,RShoulder,[     146.21],[    -143.68],[     1357.5],1
9,RElbow,[      22.54],[    -115.69],[     1137.3],1
9,RHand,[     47.551],[    -228.21],[     1062.2],1
9,LShoulder,[     333.04],[     36.866],[     1390.5],1
9,LElbow,[     290.05],[     102.57],[     1115.5],1
9,LHand,[     298.04],[    -122.34],[       1041],1
10,Hips,[          0],[          0],[          0],0
10,RHip,[     46.415],[     7.8524],[     884.32],1
10,RKnee,[    -4.1948],[    -36.745],[     509.93],1
10,RAnkle,[     440.47],[     147.01],[     97.689],1
10,RFoot,[          0],[          0],[          0],0
10,LHip,[     89.787],[      181.3],[     896.17],1
10,LKnee,[     19.428],[     89.405],[     497.04],1
10,LAnkle,[    -26.004],[      185.2],[     155.24],1
10,LFoot,[          0],[          0],[          0],0
10,Spine,[          0],[          0],[          0],0
10,Neck,[          0],[          0],[          0],0
10,Head,[     371.36],[    -178.19],[     1555.8],1
10,RShoulder,[     148.32],[    -143.09],[     1357.3],1
10,RElbow,[     24.657],[    -116.42],[     1136.6],1
10,RHand,[     52.207],[    -229.38],[     1061.8],1
10,LShoulder,[     335.91],[     38.219],[     1390.4],1
10,LElbow,[     294.27],[      103.6],[     1115.5],1
10,LHand,[     303.18],[    -122.09],[     1042.1],1
11,Hips,[          0],[          0],[          0],0
11,RHip,[     46.726],[     7.9978],[     884.53],1
11,RKnee,[    -3.8324],[    -36.301],[     510.22],1
11,RAnkle,[     398.56],[     136.45],[     105.07],1
11,RFoot,[          0],[          0],[          0],0
11,LHip,[     89.458],[     181.28],[     896.48],1
11,LKnee,[     19.038],[     89.295],[     497.62],1
11,LAnkle,[    -26.723],[     184.69],[     156.14],1
11,LFoot,[          0],[          0],[          0],0
11,Spine,[          0],[          0],[          0],0
11,Neck,[          0],[          0],[          0],0
11,Head,[     375.24],[    -176.91],[     1555.4],1
11,RShoulder,[     150.42],[     -142.5],[       1357],1
11,RElbow,[     26.775],[    -117.15],[     1135.9],1
11,RHand,[     56.864],[    -230.55],[     1061.4],1
11,LShoulder,[     338.78],[     39.572],[     1390.3],1
11,LElbow,[     298.48],[     104.64],[     1115.5],1
11,LHand,[     308.32],[    -121.84],[     1043.3],1
12,Hips,[          0],[          0],[          0],0
12,RHip,[     70.323],[     9.1548],[     877.57],1
12,RKnee,[     69.236],[      -66.7],[     519.59],1
12,RAnkle,[     349.13],[     76.982],[     115.25],1
12,RFoot,[          0],[          0],[          0],0
12,LHip,[     130.64],[     150.12],[      863.8],1
12,LKnee,[     92.049],[     31.096],[        484],1
12,LAnkle,[     24.572],[     162.41],[     155.82],1
12,LFoot,[          0],[          0],[          0],0
12,Spine,[          0],[          0],[          0],0
12,Neck,[          0],[          0],[          0],0
12,Head,[     395.45],[    -172.07],[     1549.6],1
12,RShoulder,[     151.15],[    -120.72],[     1371.3],1
12,RElbow,[     3.9737],[    -120.75],[     1163.7],1
12,RHand,[     68.637],[    -289.44],[     1133.9],1
12,LShoulder,[     372.88],[     22.788],[     1361.8],1
12,LElbow,[     302.23],[     95.355],[     1087.4],1
12,LHand,[     362.52],[    -150.24],[     1050.9],1
13,Hips,[          0],[          0],[          0],0
13,RHip,[     73.039],[     9.4047],[     877.04],1
13,RKnee,[     77.109],[    -69.442],[     520.82],1
13,RAnkle,[     306.45],[     61.368],[     122.92],1
13,RFoot,[          0],[          0],[          0],0
13,LHip,[      134.6],[     146.87],[      860.7],1
13,LKnee,[      99.24],[     24.986],[     483.12],1
13,LAnkle,[     29.226],[     159.65],[      156.6],1
13,LFoot,[          0],[          0],[          0],0
13,Spine,[          0],[          0],[          0],0
13,Neck,[          0],[          0],[          0],0
13,Head,[     401.02],[    -170.42],[     1548.7],1
13,RShoulder,[     153.12],[    -117.95],[     1372.5],1
13,RElbow,[     3.5175],[    -121.78],[       1166],1
13,RHand,[     74.029],[    -296.57],[       1141],1
13,LShoulder,[     378.97],[     22.267],[     1358.7],1
13,LElbow,[     306.39],[     95.325],[     1084.5],1
13,LHand,[     372.72],[    -152.95],[     1052.8],1
14,Hips,[          0],[          0],[          0],0
14,RHip,[     75.755],[     9.6547],[      876.5],1
14,RKnee,[     84.981],[    -72.183],[     522.06],1
14,RAnkle,[     263.77],[     45.755],[      130.6],1
14,RFoot,[          0],[          0],[          0],0
14,LHip,[     138.56],[     143.63],[      857.6],1
14,LKnee,[     106.43],[     18.876],[     482.23],1
14,LAnkle,[     33.879],[      156.9],[     157.37],1
14,LFoot,[          0],[          0],[          0],0
14,Spine,[          0],[          0],[          0],0
14,Neck,[          0],[          0],[          0],0
14,Head,[     406.58],[    -168.77],[     1547.7],1
14,RShoulder,[     155.08],[    -115.17],[     1373.7],1
14,RElbow,[     3.0613],[     -122.8],[     1168.2],1
14,RHand,[     79.421],[     -303.7],[     1148.1],1
14,LShoulder,[     385.06],[     21.747],[     1355.7],1
14,LElbow,[     310.56],[     95.295],[     1081.5],1
14,LHand,[     382.93],[    -155.67],[     1054.6],1
15,Hips,[          0],[          0],[          0],0
15,RHip,[     78.471],[     9.9046],[     875.96],1
15,RKnee,[     92.853],[    -74.925],[     523.29],1
15,RAnkle,[     221.08],[     30.142],[     138.27],1
15,RFoot,[          0],[          0],[          0],0
15,LHip,[     142.51],[     140.39],[      854.5],1
15,LKnee,[     113.62],[     12.766],[     481.34],1
15,LAnkle,[     38.532],[     154.14],[     158.15],1
15,LFoot,[          0],[          0],[          0],0
15,Spine,[          0],[          0],[          0],0
15,Neck,[          0],[          0],[          0],0
15,Head,[     412.15],[    -167.13],[     1546.8],1
15,RShoulder,[     157.04],[    -112.39],[     1374.9],1
15,RElbow,[     2.6052],[    -123.83],[     1170.5],1
15,RHand,[     84.812],[    -310.83],[     1155.2],1
15,LShoulder,[     391.16],[     21.226],[     1352.7],1
15,LElbow,[     314.72],[     95.265],[     1078.6],1
15,LHand,[     393.14],[    -158.38],[     1056.5],1
16,Hips,[          0],[          0],[          0],0
16,RHip,[     81.187],[     10.154],[     875.42],1
16,RKnee,[     100.73],[    -77.667],[     524.52],1
16,RAnkle,[      178.4],[     14.528],[     145.94],1
16,RFoot,[          0],[          0],[          0],0
16,LHip,[     146.47],[     137.15],[      851.4],1
16,LKnee,[     120.81],[     6.6566],[     480.45],1
16,LAnkle,[     43.185],[     151.38],[     158.93],1
16,LFoot,[          0],[          0],[          0],0
16,Spine,[          0],[          0],[          0],0
16,Neck,[          0],[          0],[          0],0
16,Head,[     417.71],[    -165.48],[     1545.8],1
16,RShoulder,[        159],[    -109.62],[     1376.1],1
16,RElbow,[      2.149],[    -124.85],[     1172.7],1
16,RHand,[     90.204],[    -317.96],[     1162.4],1
16,LShoulder,[     397.25],[     20.706],[     1349.7],1
16,LElbow,[     318.89],[     95.235],[     1075.7],1
16,LHand,[     403.34],[    -161.09],[     1058.3],1
17,Hips,[          0],[          0],[          0],0
17,RHip,[     213.08],[    -48.136],[     854.78],1
17,RKnee,[     191.33],[    -80.329],[     495.38],1
17,RAnkle,[     453.09],[     155.27],[     127.79],1
17,RFoot,[          0],[          0],[          0],0
17,LHip,[      295.3],[     109.15],[     870.07],1
17,LKnee,[     277.98],[     10.964],[     476.55],1
17,LAnkle,[     125.56],[     194.68],[     163.52],1
17,LFoot,[          0],[          0],[          0],0
17,Spine,[          0],[          0],[          0],0
17,Neck,[          0],[          0],[          0],0
17,Head,[     526.67],[    -243.74],[     1523.1],1
17,RShoulder,[     312.57],[    -223.15],[     1323.6],1
17,RElbow,[     227.78],[    -268.71],[     1127.3],1
17,RHand,[     343.12],[    -436.95],[       1156],1
17,LShoulder,[     549.28],[    -50.971],[     1360.8],1
17,LElbow,[     525.73],[     4.6487],[     1132.7],1
17,LHand,[     645.38],[    -249.15],[     1143.5],1
18,Hips,[          0],[          0],[          0],0
18,RHip,[     225.03],[    -52.072],[      852.8],1
18,RKnee,[     205.12],[    -83.065],[     494.44],1
18,RAnkle,[     433.11],[     150.84],[     133.62],1
18,RFoot,[          0],[          0],[          0],0
18,LHip,[     309.62],[     104.14],[     868.53],1
18,LKnee,[     295.89],[     5.5996],[     475.45],1
18,LAnkle,[     135.77],[     195.21],[     164.56],1
18,LFoot,[          0],[          0],[          0],0
18,Spine,[          0],[          0],[          0],0
18,Neck,[          0],[          0],[          0],0
18,Head,[     539.63],[    -247.81],[     1520.6],1
18,RShoulder,[     325.37],[    -228.69],[       1321],1
18,RElbow,[     243.49],[    -279.95],[     1126.1],1
18,RHand,[     366.21],[    -452.08],[     1162.2],1
18,LShoulder,[     565.81],[     -56.58],[     1358.8],1
18,LElbow,[     544.39],[    -1.8567],[     1134.1],1
18,LHand,[     672.17],[    -257.97],[     1151.3],1
19,Hips,[          0],[          0],[          0],0
19,RHip,[     236.98],[    -56.009],[     850.83],1
19,RKnee,[     218.91],[    -85.801],[      493.5],1
19,RAnkle,[     413.12],[      146.4],[     139.44],1
19,RFoot,[          0],[          0],[          0],0
19,LHip,[     323.93],[     99.126],[     866.99],1
19,LKnee,[     313.81],[    0.23471],[     474.35],1
19,LAnkle,[     145.98],[     195.75],[     165.61],1
19,LFoot,[          0],[          0],[          0],0
19,Spine,[          0],[          0],[          0],0
19,Neck,[          0],[          0],[          0],0
19,Head,[     552.59],[    -251.88],[     1518.1],1
19,RShoulder,[     338.18],[    -234.23],[     1318.3],1
19,RElbow,[      259.2],[    -291.19],[       1125],1
19,RHand,[      389.3],[    -467.21],[     1168.3],1
19,LShoulder,[     582.34],[    -62.189],[     1356.8],1
19,LElbow,[     563.04],[    -8.3621],[     1135.5],1
19,LHand,[     698.95],[    -266.78],[     1159.1],1
20,Hips,[          0],[          0],[          0],0
20,RHip,[     248.93],[    -59.945],[     848.85],1
20,RKnee,[      232.7],[    -88.537],[     492.56],1
20,RAnkle,[     393.13],[     141.97],[     145.27],1
20,RFoot,[          0],[          0],[          0],0
20,LHip,[     338.25],[     94.114],[     865.44],1
20,LKnee,[     331.73],[    -5.1301],[     473.24],1
20,LAnkle,[      156.2],[     196.29],[     166.66],1
20,LFoot,[          0],[          0],[          0],0
20,Spine,[          0],[          0],[          0],0
20,Neck,[          0],[          0],[          0],0
20,Head,[     565.55],[    -255.95],[     1515.6],1
20,RShoulder,[     350.98],[    -239.77],[     1315.7],1
20,RElbow,[     274.91],[    -302.43],[     1123.8],1
20,RHand,[     412.39],[    -482.34],[     1174.5],1
20,LShoulder,[     598.87],[    -67.797],[     1354.8],1
20,LElbow,[      581.7],[    -14.867],[     1136.8],1
20,LHand,[     725.74],[     -275.6],[     1166.9],1
21,Hips,[          0],[          0],[          0],0
21,RHip,[     260.89],[    -63.881],[     846.88],1
21,RKnee,[     246.48],[    -91.273],[     491.62],1
21,RAnkle,[     373.14],[     137.54],[     151.09],1
21,RFoot,[          0],[          0],[          0],0
21,LHip,[     352.57],[     89.101],[      863.9],1
21,LKnee,[     349.64],[    -10.495],[     472.14],1
21,LAnkle,[     166.41],[     196.82],[     167.71],1
21,LFoot,[          0],[          0],[          0],0
21,Spine,[          0],[          0],[          0],0
21,Neck,[          0],[          0],[          0],0
21,Head,[     578.51],[    -260.01],[     1513.1],1
21,RShoulder,[     363.78],[    -245.31],[     1313.1],1
21,RElbow,[     290.62],[    -313.67],[     1122.6],1
21,RHand,[     435.48],[    -497.47],[     1180.7],1
21,LShoulder,[      615.4],[    -73.406],[     1352.7],1
21,LElbow,[     600.36],[    -21.373],[     1138.2],1
