frame,keypoint,X,Y,Z,visible
40,RAnkle,[12575.64032865],[-25.18272288],[183.40182653],1
40,RFoot,[12454.93837913],[30.39336441],[58.84334063],1
40,LHip,[12589.4530143],[-265.21322084],[950.52583188],1
40,LKnee,[12689.8434695],[-254.52196071],[468.79081639],1
40,LAnkle,[12952.72537478],[-441.00757686],[186.56236697],1
40,LFoot,[12953.12130946],[-386.85706095],[32.10742063],1
40,Spine,[12551.27162598],[-112.70889351],[1217.06267461],1
40,Neck,[12427.98926886],[-44.16119299],[1472.39337977],1
40,Head,[12318.63441508],[-19.49038853],[1611.19965204],1
40,RShoulder,[12581.20715534],[104.36467671],[1451.07202204],1
40,RElbow,[12570.58411235],[342.58747709],[1227.08522166],1
40,RHand,[12460.92236323],[337.96149347],[1481.7089864],1
40,LShoulder,[12283.6995167],[-188.6291859],[1418.04796467],1
40,LElbow,[12133.44713655],[-22.29204928],[1208.96676766],1
40,LHand,[12238.90894099],[197.87438204],[1467.07611268],1
41,Hips,[12660.46587382],[-115.77094219],[960.21754485],1
41,RHip,[12705.21442027],[35.9519566],[964.78604409],1
41,RKnee,[12491.35948447],[117.20035901],[549.88134763],1
41,RAnkle,[12575.51240184],[-4.94454324],[181.55089201],1
41,RFoot,[12447.55650297],[49.44414266],[56.49285202],1
41,LHip,[12605.95832441],[-257.11882203],[948.63513399],1
41,LKnee,[12706.92754037],[-248.56436188],[464.87748337],1
41,LAnkle,[12977.10642962],[-437.40575546],[185.89047321],1
41,LFoot,[12976.04372632],[-383.50656365],[30.12473885],1
41,Spine,[12563.16152258],[-98.50647742],[1212.98257376],1
41,Neck,[12437.72702162],[-28.69094633],[1467.11685413],1
41,Head,[12326.54592469],[-2.94971332],[1605.10123684],1
41,RShoulder,[12591.75628011],[127.76017834],[1444.65104948],1
41,RElbow,[12576.6536306],[372.02565133],[1209.24873411],1
41,RHand,[12467.9095925],[364.45477942],[1467.12308088],1
41,LShoulder,[12292.50566199],[-180.22948295],[1412.84918267],1
41,LElbow,[12138.90191557],[-13.04437799],[1199.05155374],1
41,LHand,[12243.58750988],[214.00965665],[1461.72308036],1
42,Hips,[12303.53660517],[-7.20715248],[911.27591447],1
42,RHip,[12338.92942731],[139.17606473],[889.50613727],1
42,RKnee,[12282.91178149],[111.33776976],[471.88872791],1
42,RAnkle,[12435.29834854],[-63.89126432],[124.44654695],1
42,RFoot,[12245.68844423],[-53.33227687],[31.99597585],1
42,LHip,[12259.06032208],[-136.43653214],[914.71150408],1
42,LKnee,[12228.86071064],[-58.15849597],[461.52519479],1
42,LAnkle,[12454.87091156],[-191.40279233],[306.93928159],1
42,LFoot,[12481.06565841],[-242.63541223],[155.64127216],1
42,Spine,[12241.34392228],[42.15750556],[1189.55794764],1
42,Neck,[12130.59455153],[132.23788219],[1433.31081776],1
42,Head,[12036.94553761],[194.13051299],[1584.85933493],1
42,RShoulder,[12257.26728921],[291.04340086],[1352.85880698],1
42,RElbow,[12157.0684474],[392.80395862],[1071.14877436],1
42,RHand,[11881.12120353],[479.1081788],[1085.10265243],1
42,LShoulder,[12054.90440796],[-54.98229381],[1423.65053766],1
42,LElbow,[11979.07787315],[-192.7118098],[1136.72846767],1
42,LHand,[11907.67394592],[28.27647879],[1032.33234119],1
43,Hips,[12303.00888561],[11.39498851],[907.16008797],1
43,RHip,[12335.13152104],[164.46330295],[883.74821909],1
43,RKnee,[12273.80221603],[132.10836998],[466.61428175],1
43,RAnkle,[12429.60752282],[-46.79756164],[120.4014684],1
43,RFoot,[12230.58341231],[-39.1193252],[28.76604174],1
43,LHip,[12261.13468216],[-123.87120482],[911.54876043],1
43,LKnee,[12226.28206062],[-44.87635266],[457.63414116],1
43,LAnkle,[12457.54551469],[-178.17508519],[311.10098541],1
43,LFoot,[12483.4219556],[-233.82389237],[158.72165596],1
43,Spine,[12239.98210639],[61.38178164],[1184.70966481],1
43,Neck,[12127.74920943],[153.48437099],[1426.9013692],1
43,Head,[12033.04268239],[217.84051537],[1578.19927391],1
43,RShoulder,[12254.11475626],[319.99392261],[1343.04769325],1
43,RElbow,[12146.23497794],[421.89824467],[1048.53655665],1
43,RHand,[11864.52926888],[509.10235247],[1055.92571525],1
43,LShoulder,[12053.92557677],[-41.94251143],[1419.08713011],1
43,LElbow,[11977.96933718],[-190.96606356],[1124.73210766],1
43,LHand,[11898.82740955],[36.39544355],[1010.14053292],1
44,Hips,[12302.48116606],[29.9971295],[903.04426146],1
44,RHip,[12331.33361478],[189.75054117],[877.9903009],1
44,RKnee,[12264.69265057],[152.8789702],[461.3398356],1
44,RAnkle,[12423.9166971],[-29.70385896],[116.35638985],1
44,RFoot,[12215.4783804],[-24.90637352],[25.53610762],1
44,LHip,[12263.20904224],[-111.30587751],[908.38601678],1
44,LKnee,[12223.70341059],[-31.59420935],[453.74308753],1
44,LAnkle,[12460.22011783],[-164.94737805],[315.26268922],1
44,LFoot,[12485.77825278],[-225.01237251],[161.80203976],1
44,Spine,[12238.6202905],[80.60605772],[1179.86138198],1
44,Neck,[12124.90386732],[174.73085978],[1420.49192064],1
44,Head,[12029.13982717],[241.55051775],[1571.53921289],1
44,RShoulder,[12250.9622233],[348.94444435],[1333.23657952],1
44,RElbow,[12135.40150848],[450.99253071],[1025.92433894],1
44,RHand,[11847.93733423],[539.09652613],[1026.74877806],1
44,LShoulder,[12052.94674558],[-28.90272905],[1414.52372256],1
44,LElbow,[11976.8608012],[-189.22031732],[1112.73574765],1
44,LHand,[11889.98087318],[44.51440831],[987.94872465],1
45,Hips,[12301.95344651],[48.59927049],[898.92843495],1
