frame,keypoint,X,Y,Z,visible
9,LHip,[     101.96],[     205.28],[     838.22],1
9,LKnee,[          0],[          0],[          0],0
9,LAnkle,[          0],[          0],[          0],0
9,LFoot,[          0],[          0],[          0],0
9,Spine,[          0],[          0],[          0],0
9,Neck,[          0],[          0],[          0],0
9,Head,[     463.84],[     -174.3],[     1505.8],1
9,RShoulder,[     174.21],[    -128.59],[     1362.3],1
9,RElbow,[    -27.111],[    -135.79],[     1114.9],1
9,RHand,[     153.29],[    -258.99],[     1033.9],1
9,LShoulder,[     379.85],[     49.762],[       1387],1
9,LElbow,[     461.98],[     123.44],[     1147.4],1
9,LHand,[     529.75],[    -45.712],[     1169.8],1
10,Hips,[          0],[          0],[          0],0
10,RHip,[     19.341],[     72.053],[     822.56],1
10,RKnee,[          0],[          0],[          0],0
10,RAnkle,[          0],[          0],[          0],0
10,RFoot,[          0],[          0],[          0],0
10,LHip,[     102.02],[     208.11],[     825.74],1
10,LKnee,[          0],[          0],[          0],0
10,LAnkle,[          0],[          0],[          0],0
10,LFoot,[          0],[          0],[          0],0
10,Spine,[          0],[          0],[          0],0
10,Neck,[          0],[          0],[          0],0
10,Head,[      466.1],[    -168.99],[       1505],1
10,RShoulder,[     179.24],[    -129.52],[     1360.4],1
10,RElbow,[    -19.415],[    -134.71],[       1105],1
10,RHand,[     164.39],[    -268.52],[     1018.5],1
10,LShoulder,[     385.27],[     49.217],[     1387.1],1
10,LElbow,[      465.8],[     125.76],[     1147.3],1
10,LHand,[     530.17],[    -44.529],[     1171.1],1
11,Hips,[          0],[          0],[          0],0
11,RHip,[     20.212],[     73.479],[     808.94],1
11,RKnee,[          0],[          0],[          0],0
11,RAnkle,[          0],[          0],[          0],0
11,RFoot,[          0],[          0],[          0],0
11,LHip,[     102.08],[     210.94],[     813.26],1
11,LKnee,[          0],[          0],[          0],0
11,LAnkle,[          0],[          0],[          0],0
11,LFoot,[          0],[          0],[          0],0
11,Spine,[          0],[          0],[          0],0
11,Neck,[          0],[          0],[          0],0
11,Head,[     468.36],[    -163.69],[     1504.1],1
11,RShoulder,[     184.28],[    -130.44],[     1358.5],1
11,RElbow,[    -11.719],[    -133.64],[     1095.2],1
11,RHand,[      175.5],[    -278.05],[       1003],1
11,LShoulder,[      390.7],[     48.672],[     1387.2],1
11,LElbow,[     469.62],[     128.08],[     1147.1],1
11,LHand,[     530.59],[    -43.346],[     1172.4],1
12,Hips,[          0],[          0],[          0],0
